src,dest,send_count,send_count2,total
0,549,2736.0,0.0,2736
0,3190,0.0,1795.0,1795
1,3360,1738.0,0.0,1738
1,4505,0.0,892.0,892
2,318,0.0,2720.0,2720
2,4342,3641.0,0.0,3641
3,1286,2708.0,0.0,2708
3,2323,0.0,1802.0,1802
4,3933,871.0,0.0,871
5,3773,1816.0,0.0,1816
5,4888,0.0,933.0,933
6,1718,0.0,1777.0,1777
6,2129,2685.0,0.0,2685
7,1692,887.0,0.0,887
8,217,886.0,0.0,886
9,3397,0.0,2658.0,2658
9,4416,3552.0,0.0,3552
10,2951,0.0,1819.0,1819
10,4772,2716.0,0.0,2716
11,1385,0.0,883.0,883
11,4294,1748.0,0.0,1748
12,296,5420.0,0.0,5420
12,1574,0.0,4495.0,4495
13,508,0.0,4530.0,4530
13,1485,5432.0,0.0,5432
14,364,0.0,1783.0,1783
14,4179,2683.0,0.0,2683
15,171,1824.0,0.0,1824
15,2178,0.0,906.0,906
16,821,888.0,0.0,888
17,2023,1789.0,0.0,1789
17,3385,0.0,889.0,889
18,2027,3619.0,0.0,3619
18,3512,0.0,2733.0,2733
19,719,1834.0,0.0,1834
19,2775,0.0,919.0,919
20,4663,864.0,0.0,864
21,391,0.0,1833.0,1833
21,1525,17107.0,0.0,17107
21,1925,0.0,1817.0,1817
21,2245,0.0,891.0,891
21,2574,0.0,3574.0,3574
21,3212,0.0,1769.0,1769
21,3911,0.0,925.0,925
21,4025,0.0,1808.0,1808
21,4043,0.0,1799.0,1799
21,5190,0.0,1814.0,1814
22,1270,1786.0,0.0,1786
22,4453,0.0,887.0,887
23,264,0.0,901.0,901
23,2993,1798.0,0.0,1798
24,3297,927.0,0.0,927
25,2609,3583.0,0.0,3583
25,3126,0.0,2667.0,2667
26,3592,896.0,0.0,896
27,3063,890.0,0.0,890
28,2837,0.0,1775.0,1775
28,4654,7156.0,0.0,7156
28,4768,0.0,4508.0,4508
29,1202,0.0,907.0,907
29,2438,1777.0,0.0,1777
30,1976,889.0,0.0,889
31,220,831.0,0.0,831
32,2318,2646.0,0.0,2646
32,3365,0.0,1746.0,1746
33,3049,0.0,3585.0,3585
33,5155,4486.0,0.0,4486
34,3299,2659.0,0.0,2659
34,3668,0.0,1774.0,1774
35,1095,0.0,1795.0,1795
35,1618,2666.0,0.0,2666
36,772,0.0,4402.0,4402
36,2317,5329.0,0.0,5329
37,1163,1722.0,0.0,1722
37,2689,0.0,881.0,881
38,2277,907.0,0.0,907
39,370,2660.0,0.0,2660
39,4750,0.0,1738.0,1738
40,1693,0.0,1812.0,1812
40,4055,2686.0,0.0,2686
41,3212,858.0,0.0,858
42,1418,2697.0,0.0,2697
42,3130,0.0,1809.0,1809
43,812,0.0,2692.0,2692
43,4062,3615.0,0.0,3615
44,2763,840.0,0.0,840
45,4116,905.0,0.0,905
46,2656,4484.0,0.0,4484
46,2962,0.0,3564.0,3564
47,2553,883.0,0.0,883
48,3788,1768.0,0.0,1768
48,5185,0.0,898.0,898
49,1459,1760.0,0.0,1760
49,3170,0.0,887.0,887
50,2392,0.0,882.0,882
50,2977,1800.0,0.0,1800
51,2023,0.0,2687.0,2687
51,4041,3530.0,0.0,3530
52,1457,0.0,2712.0,2712
52,4702,3652.0,0.0,3652
53,1005,1838.0,0.0,1838
53,2523,0.0,905.0,905
54,122,0.0,2734.0,2734
54,1129,3618.0,0.0,3618
55,3825,0.0,1833.0,1833
55,4270,2740.0,0.0,2740
56,939,858.0,0.0,858
57,1644,0.0,896.0,896
57,2166,1809.0,0.0,1809
58,4528,5451.0,0.0,5451
58,5136,0.0,4600.0,4600
59,3234,0.0,1783.0,1783
59,3795,2640.0,0.0,2640
60,3006,0.0,892.0,892
60,4932,1807.0,0.0,1807
61,767,1756.0,0.0,1756
61,4119,0.0,859.0,859
62,1552,3666.0,0.0,3666
62,3778,0.0,2744.0,2744
63,1334,0.0,2689.0,2689
63,1653,3597.0,0.0,3597
64,225,0.0,910.0,910
64,1772,1780.0,0.0,1780
65,744,0.0,5402.0,5402
65,899,3629.0,0.0,3629
65,2835,0.0,882.0,882
65,3729,0.0,4530.0,4530
65,4150,0.0,6319.0,6319
65,4701,14431.0,0.0,14431
66,99,0.0,861.0,861
66,493,1700.0,0.0,1700
67,3777,882.0,0.0,882
68,2737,0.0,1798.0,1798
68,4017,2685.0,0.0,2685
69,2987,909.0,0.0,909
70,2278,1816.0,0.0,1816
70,2623,0.0,914.0,914
71,1610,1738.0,0.0,1738
71,3939,0.0,867.0,867
72,472,0.0,2666.0,2666
72,550,2714.0,0.0,2714
72,1362,6210.0,0.0,6210
72,1546,0.0,5357.0,5357
73,383,900.0,0.0,900
74,3535,861.0,0.0,861
75,1494,911.0,0.0,911
76,559,1709.0,0.0,1709
76,2149,0.0,844.0,844
77,1936,3618.0,0.0,3618
77,5156,0.0,2687.0,2687
78,1995,1774.0,0.0,1774
78,2019,0.0,898.0,898
79,2837,901.0,0.0,901
80,851,1756.0,0.0,1756
80,4013,0.0,857.0,857
81,2189,1822.0,0.0,1822
81,3023,0.0,913.0,913
82,4391,4432.0,0.0,4432
82,4601,0.0,2662.0,2662
82,5112,0.0,860.0,860
83,1063,0.0,886.0,886
83,5231,1781.0,0.0,1781
84,4050,3591.0,0.0,3591
84,4775,0.0,2691.0,2691
85,3260,4482.0,0.0,4482
85,5225,0.0,3581.0,3581
86,2886,901.0,0.0,901
87,4931,903.0,0.0,903
88,296,0.0,14315.0,14315
88,2055,15226.0,0.0,15226
88,2215,0.0,1804.0,1804
88,2339,12509.0,5338.0,17847
88,4019,0.0,5366.0,5366
89,2002,3535.0,0.0,3535
89,2287,0.0,2663.0,2663
90,2680,0.0,1810.0,1810
90,4352,2700.0,0.0,2700
91,985,0.0,3579.0,3579
91,1322,4485.0,0.0,4485
92,1276,0.0,927.0,927
92,2317,1834.0,0.0,1834
93,342,1800.0,0.0,1800
93,4638,0.0,881.0,881
94,1181,0.0,3612.0,3612
94,3435,4511.0,0.0,4511
95,130,9786.0,0.0,9786
95,1742,0.0,886.0,886
95,2871,0.0,2612.0,2612
95,3343,0.0,1809.0,1809
95,3493,0.0,929.0,929
95,4779,0.0,2667.0,2667
96,876,88403.0,175430.0,263833
96,1074,141569.0,77677.0,219246
96,1561,0.0,2618.0,2618
96,1950,0.0,2714.0,2714
96,2494,0.0,2665.0,2665
96,3435,0.0,3674.0,3674
96,3888,0.0,3626.0,3626
97,588,910.0,0.0,910
98,2670,0.0,2743.0,2743
98,4941,3641.0,0.0,3641
99,66,861.0,0.0,861
100,807,0.0,927.0,927
100,3123,1825.0,0.0,1825
101,2317,920.0,0.0,920
102,2261,894.0,0.0,894
103,640,0.0,3593.0,3593
103,763,5365.0,0.0,5365
103,1300,0.0,3598.0,3598
103,4998,2686.0,0.0,2686
104,2164,0.0,4491.0,4491
104,2759,5382.0,0.0,5382
105,641,5339.0,0.0,5339
105,4599,0.0,4434.0,4434
106,3698,0.0,900.0,900
106,4120,1794.0,0.0,1794
107,2055,2666.0,0.0,2666
107,2847,0.0,1750.0,1750
108,114,0.0,922.0,922
108,246,1827.0,0.0,1827
109,2729,0.0,920.0,920
109,4281,1821.0,0.0,1821
110,2177,2678.0,0.0,2678
110,2912,0.0,1778.0,1778
111,2380,0.0,906.0,906
111,4950,1779.0,0.0,1779
112,1242,7093.0,0.0,7093
112,3852,0.0,6190.0,6190
113,1155,3529.0,0.0,3529
113,4767,0.0,2631.0,2631
114,108,922.0,0.0,922
115,2741,1841.0,0.0,1841
115,3505,0.0,913.0,913
116,2163,916.0,0.0,916
117,1816,0.0,896.0,896
117,4124,1783.0,0.0,1783
118,3256,0.0,892.0,892
118,4361,1807.0,0.0,1807
119,513,2713.0,8947.0,11660
119,3942,9823.0,2713.0,12536
120,2704,926.0,0.0,926
121,244,925.0,0.0,925
122,54,2734.0,0.0,2734
122,4364,0.0,1817.0,1817
123,1552,880.0,0.0,880
124,516,0.0,917.0,917
124,3761,1815.0,0.0,1815
125,1891,878.0,0.0,878
126,3387,0.0,856.0,856
126,4245,1750.0,0.0,1750
127,4133,910.0,0.0,910
128,3792,0.0,2706.0,2706
128,4863,3636.0,0.0,3636
129,4018,924.0,0.0,924
130,95,0.0,9786.0,9786
130,487,0.0,2617.0,2617
130,1494,24221.0,51337.0,75558
130,1944,0.0,918.0,918
130,3162,0.0,3668.0,3668
130,3465,0.0,2739.0,2739
130,4344,0.0,904.0,904
130,5094,0.0,3589.0,3589
131,182,2647.0,0.0,2647
131,1217,0.0,1754.0,1754
132,458,0.0,5348.0,5348
132,4142,6256.0,0.0,6256
133,2140,1830.0,0.0,1830
133,3018,0.0,915.0,915
134,1775,850.0,0.0,850
135,3183,3589.0,0.0,3589
135,4482,0.0,2694.0,2694
136,3510,904.0,0.0,904
137,637,1771.0,0.0,1771
137,4819,0.0,866.0,866
138,196,66734.0,58821.0,125555
138,978,0.0,1775.0,1775
138,979,24265.0,51113.0,75378
138,1384,434539.0,201144.0,635683
138,2789,0.0,3557.0,3557
138,4408,745508.0,853118.0,1598626
138,4654,0.0,100694.0,100694
138,5028,360537.0,397073.0,757610
139,1955,4406.0,0.0,4406
139,3790,0.0,3505.0,3505
140,4085,902.0,0.0,902
141,875,2591.0,0.0,2591
141,1106,0.0,1751.0,1751
142,895,0.0,1788.0,1788
142,2849,2682.0,0.0,2682
143,826,1766.0,0.0,1766
143,3258,0.0,875.0,875
144,4075,0.0,1771.0,1771
144,4195,2670.0,0.0,2670
145,3358,886.0,0.0,886
146,411,7143.0,0.0,7143
146,3624,0.0,6230.0,6230
147,4642,889.0,0.0,889
148,4179,913.0,0.0,913
149,667,3545.0,0.0,3545
149,1509,0.0,2659.0,2659
150,4992,925.0,0.0,925
151,382,0.0,3565.0,3565
151,1826,4449.0,0.0,4449
152,205,0.0,884.0,884
152,1259,1784.0,0.0,1784
153,299,3591.0,0.0,3591
153,3886,0.0,2677.0,2677
154,1071,2663.0,0.0,2663
154,2190,0.0,1820.0,1820
155,1747,906.0,0.0,906
156,1824,0.0,881.0,881
156,5045,1749.0,0.0,1749
157,332,908.0,0.0,908
158,350,2731.0,0.0,2731
158,527,0.0,1820.0,1820
159,3773,902.0,0.0,902
160,770,1746.0,0.0,1746
160,3914,0.0,867.0,867
161,882,0.0,909.0,909
161,955,1800.0,0.0,1800
162,1206,0.0,903.0,903
162,1796,10754.0,0.0,10754
162,2058,0.0,8093.0,8093
162,2338,0.0,859.0,859
163,911,0.0,3597.0,3597
163,1384,4503.0,0.0,4503
164,759,0.0,3625.0,3625
164,5107,4533.0,0.0,4533
165,2750,919.0,0.0,919
166,3345,0.0,893.0,893
166,4549,1791.0,0.0,1791
167,389,2670.0,0.0,2670
167,438,0.0,1781.0,1781
168,1619,0.0,906.0,906
168,4545,1813.0,0.0,1813
169,335,3623.0,0.0,3623
169,2724,0.0,907.0,907
169,3638,0.0,1827.0,1827
170,2596,0.0,2707.0,2707
170,3538,3562.0,0.0,3562
171,15,0.0,1824.0,1824
171,4994,2698.0,0.0,2698
172,2027,0.0,4530.0,4530
172,3033,5396.0,0.0,5396
173,473,3583.0,0.0,3583
173,1679,0.0,2681.0,2681
174,4591,902.0,0.0,902
175,473,234642.0,343531.0,578173
175,596,0.0,3609.0,3609
175,803,0.0,3502.0,3502
175,1525,356367.0,261475.0,617842
175,1699,0.0,8892.0,8892
175,1861,0.0,2624.0,2624
175,2748,0.0,924.0,924
175,2905,0.0,4385.0,4385
175,3310,0.0,4544.0,4544
175,3459,0.0,9049.0,9049
175,3858,72398.0,72212.0,144610
175,4010,0.0,2719.0,2719
175,4840,0.0,1771.0,1771
176,1367,0.0,899.0,899
176,3369,1785.0,0.0,1785
177,2649,880.0,0.0,880
178,3659,1795.0,0.0,1795
178,5162,0.0,892.0,892
179,432,0.0,850.0,850
179,923,2630.0,0.0,2630
179,4604,0.0,881.0,881
180,1575,1814.0,0.0,1814
180,3139,0.0,916.0,916
181,1554,891.0,0.0,891
182,131,0.0,2647.0,2647
182,380,0.0,1785.0,1785
182,859,0.0,4482.0,4482
182,1052,0.0,1800.0,1800
182,1199,0.0,4510.0,4510
182,1525,40241.0,0.0,40241
182,1908,0.0,4453.0,4453
182,1935,0.0,2670.0,2670
182,2968,0.0,1830.0,1830
182,3353,0.0,2685.0,2685
182,4084,0.0,4480.0,4480
182,4594,0.0,2702.0,2702
182,5139,0.0,1800.0,1800
182,5152,0.0,3470.0,3470
183,1290,0.0,3599.0,3599
183,4345,4547.0,0.0,4547
184,681,909.0,0.0,909
185,2208,883.0,0.0,883
186,653,0.0,14373.0,14373
186,3435,15313.0,0.0,15313
187,329,0.0,881.0,881
187,1733,1813.0,0.0,1813
188,3638,922.0,0.0,922
189,3434,1743.0,0.0,1743
189,3892,0.0,878.0,878
190,3566,0.0,1754.0,1754
190,4038,2665.0,0.0,2665
191,2219,0.0,901.0,901
191,4240,1815.0,0.0,1815
192,2497,0.0,2640.0,2640
192,2769,0.0,893.0,893
192,2824,0.0,887.0,887
192,3246,0.0,4465.0,4465
192,3371,16844.0,0.0,16844
192,3946,0.0,3493.0,3493
192,4553,0.0,3578.0,3578
193,2597,1763.0,0.0,1763
193,4922,0.0,860.0,860
194,1124,0.0,45841.0,45841
194,2645,0.0,1713.0,1713
194,2646,0.0,1762.0,1762
194,3262,72592.0,0.0,72592
194,3674,0.0,2722.0,2722
194,3995,0.0,14246.0,14246
194,4990,0.0,5399.0,5399
195,371,1812.0,0.0,1812
195,2978,0.0,899.0,899
196,138,58821.0,66734.0,125555
196,884,0.0,2696.0,2696
196,1817,37813.0,43533.0,81346
196,3122,0.0,6257.0,6257
196,4726,0.0,1772.0,1772
196,4917,0.0,4537.0,4537
196,5103,0.0,2719.0,2719
197,1525,1803.0,0.0,1803
197,4444,0.0,904.0,904
198,3502,0.0,1745.0,1745
198,4931,2647.0,0.0,2647
199,3154,1761.0,0.0,1761
199,4127,0.0,904.0,904
200,2154,0.0,897.0,897
200,2883,1799.0,0.0,1799
201,2109,0.0,1775.0,1775
201,5107,2671.0,0.0,2671
202,3561,4427.0,0.0,4427
202,4423,0.0,3539.0,3539
203,3248,0.0,1841.0,1841
203,4207,2727.0,0.0,2727
204,4296,920.0,0.0,920
205,152,884.0,0.0,884
206,1292,0.0,5430.0,5430
206,1373,6343.0,0.0,6343
207,910,0.0,877.0,877
207,1895,1773.0,0.0,1773
208,2744,42839.0,3566.0,46405
208,4372,3566.0,41968.0,45534
209,2055,2694.0,0.0,2694
209,3476,0.0,1777.0,1777
210,4637,0.0,1833.0,1833
210,4965,2756.0,0.0,2756
211,1394,2671.0,0.0,2671
211,2785,0.0,1798.0,1798
212,256,1770.0,0.0,1770
212,591,0.0,910.0,910
213,2878,0.0,1790.0,1790
213,4654,2695.0,0.0,2695
214,1172,917.0,0.0,917
215,555,0.0,879.0,879
215,5211,1791.0,0.0,1791
216,2474,0.0,4402.0,4402
216,4240,5322.0,0.0,5322
217,8,0.0,886.0,886
217,4317,1749.0,0.0,1749
218,1250,0.0,878.0,878
218,1394,0.0,3552.0,3552
218,3388,0.0,4415.0,4415
218,4359,0.0,16101.0,16101
218,4462,0.0,5450.0,5450
218,4991,28571.0,37269.0,65840
219,2591,858.0,0.0,858
220,31,0.0,831.0,831
220,2244,1710.0,0.0,1710
221,3317,0.0,1785.0,1785
221,4694,2701.0,0.0,2701
222,1514,866.0,0.0,866
223,4690,895.0,0.0,895
224,1244,909.0,923.0,1832
224,1389,923.0,0.0,923
225,64,910.0,0.0,910
226,336,0.0,4471.0,4471
226,3556,5361.0,0.0,5361
227,307,0.0,1831.0,1831
227,554,2722.0,0.0,2722
228,589,0.0,901.0,901
228,3104,1803.0,0.0,1803
229,2723,917.0,0.0,917
230,604,0.0,2674.0,2674
230,2317,3592.0,0.0,3592
231,1361,1772.0,0.0,1772
231,1426,0.0,887.0,887
232,2439,8127.0,0.0,8127
