PEID,SWITCH_ID,LPID,GEN,IN_TOTAL,IN_FINAL,IN_FORWARD,DROP_ROUTE,DROP_TTL,DROP_OTHER,OUT
76,956,524,2012,6326,1081,5127,0,0,118,3368
76,1163,626,2012,4258,0,4258,0,0,0,4258
76,1615,889,2011,4155,0,4015,0,0,140,2231
76,1754,964,0,1993,0,1993,0,0,0,1993
76,2593,1406,2010,4277,5,4272,0,0,0,4272
76,3041,1659,2012,7191,0,6240,0,0,951,4259
76,3082,1671,2012,2012,0,2012,0,0,0,2012
76,3162,1713,2012,33190,7,22727,0,0,10456,10941
76,3354,1813,0,4211,2199,2012,0,0,0,2012
76,3828,2071,2011,2018,7,2011,0,0,0,2011
76,3836,2076,2011,5167,0,5128,0,0,39,4212
76,4085,2210,2010,4031,18,4013,0,0,0,4013
76,4506,2447,2012,4014,2002,2012,0,0,0,2012
76,4692,2563,2012,4230,9,2012,2209,0,0,2012
76,4921,2699,2012,4156,0,4015,0,0,141,2232
76,4972,2730,0,2221,988,1233,0,0,0,1233
76,5350,2947,2012,5339,0,4356,0,0,983,2359
76,5378,2962,2012,4016,0,4016,0,0,0,4016
76,5410,2977,2012,7219,0,6263,0,0,956,4274
76,5418,2983,0,6443,1,6442,0,0,0,6442
76,5563,3067,2012,5243,11,4234,0,0,998,2233
76,5805,3203,2010,2010,0,2010,0,0,0,2010
76,6023,3323,0,0,0,0,0,0,0,0
76,6500,3581,2008,5291,120,4234,0,0,937,2234
76,6768,3725,2012,2012,0,2012,0,0,0,2012
76,6940,3817,2012,6404,0,6241,0,0,163,4440
76,7165,3950,0,3989,2003,1986,0,0,0,1986
76,7491,4114,0,1995,0,1995,0,0,0,1995
76,7497,4118,2013,2013,0,2013,0,0,0,2013
76,7509,4123,2009,6175,0,6025,0,0,150,4232
76,7569,4155,2012,3989,0,3989,0,0,0,3989
76,7604,4170,2013,4258,1117,3117,0,0,24,2231
76,7825,4302,2010,4161,0,4019,0,0,142,2237
76,8160,4497,2012,6437,0,6264,0,0,173,4449
76,8257,4543,2012,4154,1,4013,0,0,140,2231
76,8402,4622,0,0,0,0,0,0,0,0
76,8679,4784,0,47909,34,26493,0,0,21382,3868
76,8972,4939,2012,2012,0,2012,0,0,0,2012
18,72,40,2010,2010,0,2010,0,0,0,2010
18,261,145,2011,5195,0,4231,0,0,964,2231
18,767,419,2013,5440,0,5298,0,0,142,4233
18,1234,668,2011,4014,2003,2011,0,0,0,2011
18,1798,990,0,9182,346,8218,435,0,183,8035
18,1964,1080,2012,4140,0,4006,0,0,134,2230
18,2169,1190,2012,4158,0,4016,0,0,142,2232
18,2214,1214,0,2002,2002,0,0,0,0,0
18,2354,1286,2013,4260,27,4233,0,0,0,4233
18,2464,1341,2011,6228,2215,4013,0,0,0,4013
18,2495,1357,2012,4890,29,4861,0,0,0,4219
