nodeID1,nodeID2,utilisation
1,1,0
1,8621,2069
1,5455,3998
8621,1,1988
8621,8621,0
8621,1926,0
5455,1929,6017
5455,1,2069
5455,5455,0
100,9105,5931
100,122,7943
100,4643,0
100,100,0
9105,9105,0
9105,5298,5931
9105,4643,0
9105,100,7952
122,4634,7943
122,4643,0
122,100,5931
122,122,0
4643,4643,0
4643,3619,824
4643,3003,38335
4643,1895,24412
4643,5100,0
4643,3695,0
4643,3446,20360
4643,9079,1965
4643,7704,154730
4643,8569,0
4643,91,110585
4643,5948,0
1003,4736,2077
1003,4643,0
1003,1003,0
1003,8447,8135
4736,4736,0
4736,4643,0
4736,1003,6070
8447,4643,0
8447,7814,0
8447,1003,4034
8447,7341,16097
8447,8447,0
1004,1004,0
1004,7685,2067
1004,5342,6001
7685,5904,2067
7685,3171,1985
7685,1004,4014
7685,7685,0
5342,2732,8073
5342,1004,2067
5342,5342,0
1005,1005,0
1005,1457,10101
1005,4444,0
1005,5566,8103
1005,7807,6168
1457,6664,10101
1457,1457,0
1457,4444,0
1457,1005,12193
4444,1408,0
4444,4100,0
4444,3918,0
4444,5360,0
4444,2705,0
4444,84,2032
4444,4823,2058
4444,4444,0
4444,3870,0
5566,8002,8103
5566,1005,6120
5566,5566,0
7807,8028,14287
7807,1005,1965
7807,4444,0
7807,5566,4042
7807,7807,0
1006,207,0
1006,1006,0
1006,239,1983
207,655,0
207,4116,0
207,5912,0
207,6693,0
207,8243,8020
207,2228,12241
207,4926,0
207,8005,2030
207,2759,0
207,199,0
207,713,2061
207,6857,4021
207,6219,0
207,207,0
207,4050,40199
207,3542,0
207,8546,0
207,8167,0
207,1523,4035
207,5245,0
239,8005,0
239,6470,763
239,2055,3960
239,1006,0
239,239,0
239,207,0
239,6645,0
239,829,0
1007,9059,60298
1007,8955,52359
1007,1007,0
9059,2951,56265
9059,9059,0
9059,1007,50299
8955,2611,52359
8955,8955,0
8955,1007,60298
1009,1009,0
1009,8118,1973
8118,1009,0
8118,8118,0
1011,7843,2009
1011,1011,0
7843,7843,0
7843,7143,0
7843,6025,118784
7843,1070,0
7843,207,0
7843,7955,4157
7843,5946,0
7843,3646,2032
7843,127,42156
1014,3003,0
1014,7725,2041
1014,1014,0
3003,3619,0
3003,3003,0
3003,3561,2002
3003,5211,62396
3003,107,84384
3003,8241,149270
3003,6205,0
3003,7540,1973
3003,7704,250922
3003,7707,66708
3003,1789,0
7725,3488,4129
7725,3003,0
7725,7725,0
7725,1014,0
1015,820,2000
1015,1015,0
820,4712,4065
820,820,0
820,1015,4077
1016,1016,0
1016,6419,3991
1016,3003,0
1016,8395,0
6419,1016,0
6419,4643,0
6419,9162,6033
6419,6419,0
8395,1016,2007
8395,3003,0
8395,8395,0
1018,1018,0
1018,4807,2001
4807,4807,0
4807,1018,0
4807,7599,4056
1019,1019,0
1019,7180,2005
7180,1472,4081
7180,1019,0
7180,7180,0
102,8856,0
102,2885,4004
102,102,0
8856,7864,1994
8856,8856,0
8856,102,1987
2885,833,0
2885,9057,8090
2885,2885,0
2885,102,0
2885,7239,0
2885,8304,20281
2885,216,8072
2885,8986,2006
2885,734,1987
1021,889,1982
1021,6347,5948
1021,1021,0
889,889,0
889,4467,2035
889,1021,3988
6347,8195,4045
6347,7076,20204
6347,6795,10089
6347,6347,0
6347,6381,12011
6347,5325,0
6347,2607,67754
6347,4240,0
6347,81,27923
6347,1394,0
6347,2580,2009
6347,1021,3921
1022,4457,182088
1022,526,5997
1022,4591,4123
1022,8061,60233
1022,1022,0
1022,1791,4061
4457,4457,0
4457,3114,176093
4457,7800,12028
4457,4248,5937
4457,1022,74488
4457,4287,4119
526,5149,2036
526,1022,3947
526,526,0
4591,8484,4123
4591,1022,3912
4591,4591,0
8061,7554,3949
8061,1022,186211
8061,8310,9991
8061,8061,0
8061,3710,76288
8061,1791,3975
1791,3685,6855
1791,8061,0
1791,1022,1949
1791,1791,0
1024,1024,0
1024,4395,4012
1024,5211,0
1024,1220,0
4395,1024,0
4395,1705,6012
4395,4395,0
4395,5211,0
5211,3777,2032
5211,2535,44094
5211,5672,30300
5211,5211,0
5211,8396,4005
5211,1493,1951
5211,8795,20183
5211,3003,143973
5211,6013,10159
1220,5672,0
1220,1024,1979
1220,5211,0
1220,1220,0
1025,1025,0
1025,7245,2054
1025,881,3982
1025,207,0
7245,1025,1979
7245,7245,0
7245,6693,2054
7245,207,0
881,1025,2054
881,881,0
881,207,0
103,6396,2020
103,103,0
6396,1666,2020
6396,6396,0
6396,103,1968
1031,8954,3989
1031,7326,0
1031,1031,0
8954,8929,4017
8954,1031,2057
8954,4425,0
8954,1811,10604
8954,8954,0
7326,2151,0
7326,7326,0
7326,1031,1967
1032,1032,0
1032,2284,4062
1032,1663,0
2284,1032,0
2284,7203,5977
2284,2284,0
1663,1032,2010
1663,1663,0
1033,1033,0
1033,7494,4078
1033,8047,3986
7494,1033,3986
7494,4996,0
7494,7494,0
8047,1033,6138
8047,8047,0
8047,5631,5987
1037,4089,2004
1037,1037,0
4089,5072,2004
4089,4089,0
4089,1037,1957
1038,3289,2008
1038,1038,0
1038,7799,4056
3289,3289,0
3289,629,2008
3289,1038,6121
7799,220,4116
7799,1038,0
7799,7799,0
1039,828,91381
1039,7700,2051
1039,1039,0
1039,2087,42145
828,8389,3957
828,1720,0
828,1039,42331
828,8593,61028
828,8949,17134
828,5048,17995
828,828,0
7700,4643,0
7700,1939,2051
7700,7700,0
7700,1039,15864
2087,8801,0
2087,4260,47843
2087,3621,6173
2087,2087,0
2087,3851,2018
2087,2574,18075
2087,3503,0
2087,1039,77389
2087,5839,8098
2087,50,0
2087,3839,2000
104,104,0
104,321,8042
104,5146,19864
321,104,21934
321,321,0
