nodeID,in,out
1,4057,6067
100,13883,13874
1003,10104,10212
1004,6081,8068
1005,20278,24372
1006,0,1983
1007,110597,112657
1009,0,1973
1011,0,2009
1014,0,2041
1015,4077,2000
1016,2007,3991
1018,0,2001
1019,0,2005
102,1987,4004
1021,7909,7930
1022,270507,256502
1024,1979,4012
1025,4033,6036
103,1968,2020
1031,4024,3989
1032,2010,4062
1033,10124,8064
1037,1957,2004
1038,6121,6064
1039,135584,135577
104,29976,27906
1040,5997,2056
1042,5958,6065
1046,8021,8153
1048,6000,4054
105,6006,3951
1052,3949,3921
1054,24024,26093
1055,22092,22132
1056,2077,1960
1057,3926,5972
1058,0,0
1060,64270,62252
1063,4002,5956
1067,0,2033
1068,10198,12183
107,160859,152998
1070,0,0
1073,0,2048
1074,2007,1935
1076,2026,2032
1077,4011,4042
1078,6121,6157
108,7882,9882
1082,128484,118409
1083,0,1973
1085,4022,4062
1086,0,2000
1087,6005,8057
1088,6093,6093
1089,14063,14180
109,1983,0
1092,4105,4002
1093,28088,22909
1094,0,2131
1099,2002,1945
11,2009,2033
1101,3998,3998
1102,2015,1961
1109,3990,5986
111,3924,5969
1110,6061,1990
1111,3964,2031
1113,4135,4088
1114,0,1944
1115,4023,4023
1116,12111,12038
1119,1991,2039
1126,8058,6020
1127,4011,4031
1131,11806,13841
1132,28258,28223
1133,1986,1963
1134,0,2000
1136,0,0
1137,4013,6031
1138,3939,3999
1139,4171,2061
1140,0,2030
1143,0,0
1146,4116,6200
1149,2059,4098
1151,3934,3990
1154,9978,8020
1155,0,1999
1156,2087,4062
1157,34133,34133
1163,15936,17858
1165,8191,10087
1166,8005,7994
117,6013,6039
1170,4042,4122
1171,10043,2010
1172,6036,8048
1175,8130,8130
1176,0,2073
1177,0,2021
1179,0,1955
118,1997,4070
1180,0,0
1183,0,1996
1184,0,1990
1187,7971,9996
1188,4015,2049
1190,2066,4103
1194,12064,10152
1195,0,1996
1197,2039,1998
1199,1983,3949
12,4008,4107
120,4142,2043
1201,2017,2003
1203,12073,1947
1205,2014,2039
1206,2036,2060
1207,6095,14092
1208,0,0
1209,5921,2019
121,6007,8135
1213,4105,6048
1215,10044,7896
1216,0,2003
1217,12146,10060
1218,5923,6026
1219,0,1985
122,11966,13874
1220,0,1979
1223,4103,6121
1226,0,2042
1227,6001,3985
1228,2048,2037
1229,3953,5918
1231,0,2085
1232,8140,10165
1233,14033,14033
1234,2047,1946
1237,14201,16284
1241,287024,285019
1242,3925,5956
1243,4018,4007
1244,18140,26090
1245,3997,6021
1246,2037,4032
1247,4042,6055
1248,9976,11951
1249,15955,17865
125,4157,3940
1250,21945,11958
1251,6129,4069
1252,6054,6106
1253,4053,4069
1254,0,2087
1255,20238,22267
126,229375,228133
1260,2006,4096
1262,0,2010
1266,1926,2029
1269,10214,10198
127,172851,164571
1271,2029,4085
1274,4033,2024
1275,18089,16159
1276,2004,4005
1278,0,0
1281,12102,10069
1282,0,1963
1285,0,2021
1287,12237,14217
1288,6062,8135
1289,1964,1952
129,2092,2086
1290,3913,5901
1291,0,0
