nodeID1,nodeID2,utilisation
1,1,0
1,8621,6126
1,5455,10065
8621,8621,0
8621,1926,0
5455,1929,14103
5455,5455,0
100,9105,19814
100,122,21817
100,4643,0
100,100,0
9105,9105,0
9105,5298,19937
9105,4643,0
122,4634,19909
122,4643,0
122,122,0
4643,4643,0
4643,3619,1648
4643,3003,76670
4643,1895,59717
4643,5100,6061
4643,3695,0
4643,3446,56819
4643,9079,9911
4643,7704,391917
4643,8569,2056
4643,91,303784
4643,5948,2053
1003,4736,10224
1003,4643,0
1003,1003,0
1003,8447,20304
4736,4736,0
4736,4643,0
8447,4643,0
8447,7814,2030
8447,7341,34151
8447,8447,0
1004,1004,0
1004,7685,8148
1004,5342,14069
7685,5904,8101
7685,3171,5960
7685,7685,0
5342,2732,18213
5342,5342,0
1005,1005,0
1005,1457,32395
1005,4444,0
1005,5566,22326
1005,7807,14301
1457,6664,24292
1457,1457,0
1457,4444,0
4444,1408,0
4444,4100,0
4444,3918,0
4444,5360,0
4444,2705,0
4444,84,12151
4444,4823,6148
4444,4444,0
4444,3870,0
5566,8002,18284
5566,5566,0
7807,8028,36604
7807,4444,0
7807,5566,8084
7807,7807,0
1006,207,0
1006,1006,0
1006,239,3966
207,655,0
207,4116,2061
207,5912,0
207,6693,4093
207,8243,28222
207,2228,30508
207,4926,0
207,8005,32259
207,2759,1957
207,199,2052
207,713,8025
207,6857,12108
207,6219,0
207,207,0
207,4050,84430
207,3542,0
207,8546,0
207,8167,0
207,1523,16093
207,5245,0
239,8005,0
239,6470,3503
239,2055,7920
239,239,0
239,207,0
239,6645,0
239,829,0
1007,9059,170895
1007,8955,165016
1007,1007,0
9059,2951,160820
9059,9059,0
8955,2611,162975
8955,8955,0
1009,1009,0
1009,8118,3946
8118,8118,0
1011,7843,4018
1011,1011,0
7843,7843,0
7843,7143,4139
7843,6025,281918
7843,1070,0
7843,207,0
7843,7955,12279
7843,5946,2069
7843,3646,6100
7843,127,194952
1014,3003,0
1014,7725,4082
1014,1014,0
3003,3619,0
3003,3003,0
3003,3561,14920
3003,5211,268765
3003,107,229316
3003,8241,399052
3003,6205,0
3003,7540,18046
3003,7704,720843
3003,7707,149697
3003,1789,1986
7725,3488,8258
7725,3003,0
7725,7725,0
1015,820,8077
1015,1015,0
820,4712,12207
820,820,0
1016,1016,0
1016,6419,7982
1016,3003,0
1016,8395,2007
6419,4643,0
6419,9162,12066
6419,6419,0
8395,3003,0
8395,8395,0
1018,1018,0
1018,4807,4002
4807,4807,0
4807,7599,8112
1019,1019,0
1019,7180,4010
7180,1472,8162
7180,7180,0
102,8856,1987
102,2885,8008
102,102,0
8856,7864,5975
8856,8856,0
2885,833,2037
2885,9057,18262
2885,2885,0
2885,7239,2038
2885,8304,40562
2885,216,22182
2885,8986,6099
2885,734,20084
1021,889,7952
1021,6347,15817
1021,1021,0
889,889,0
889,4467,10083
6347,8195,12070
6347,7076,50330
6347,6795,28323
6347,6347,0
6347,6381,31984
6347,5325,0
6347,2607,219688
6347,4240,4082
6347,81,75622
6347,1394,3999
6347,2580,11948
1022,4457,438664
1022,526,15941
1022,4591,12158
1022,8061,306677
1022,1022,0
1022,1791,10071
4457,4457,0
4457,3114,418796
4457,7800,29923
4457,4248,15901
4457,4287,14276
526,5149,8019
526,526,0
4591,8484,10196
4591,4591,0
8061,7554,9902
8061,8310,36037
8061,8061,0
8061,3710,356735
8061,1791,7950
1791,3685,15659
1791,1791,0
1024,1024,0
1024,4395,8024
1024,5211,0
1024,1220,1979
4395,1705,12024
4395,4395,0
4395,5211,0
5211,3777,8220
5211,2535,97884
5211,5672,62624
5211,5211,0
5211,8396,11996
5211,1493,3902
5211,8795,66556
5211,6013,20318
1220,5672,0
1220,5211,0
1220,1220,0
1025,1025,0
1025,7245,6087
1025,881,10018
1025,207,0
7245,7245,0
7245,6693,6163
7245,207,0
881,881,0
881,207,0
103,6396,6008
103,103,0
6396,1666,4040
6396,6396,0
1031,8954,10035
1031,7326,1967
1031,1031,0
8954,8929,14649
8954,4425,0
8954,1811,36101
8954,8954,0
7326,2151,0
7326,7326,0
1032,1032,0
1032,2284,8124
1032,1663,2010
2284,7203,13988
2284,2284,0
1663,1663,0
1033,1033,0
1033,7494,12142
1033,8047,14110
7494,4996,2008
7494,7494,0
8047,8047,0
8047,5631,22066
1037,4089,5965
1037,1037,0
4089,5072,8047
4089,4089,0
1038,3289,10137
1038,1038,0
1038,7799,8112
3289,3289,0
3289,629,10168
7799,220,8232
7799,7799,0
1039,828,225093
1039,7700,19966
1039,1039,0
1039,2087,161679
828,8389,9943
828,1720,0
828,8593,162415
828,8949,42302
828,5048,41881
828,828,0
7700,4643,0
7700,1939,11962
7700,7700,0
2087,8801,4098
2087,4260,152730
2087,3621,16380
2087,2087,0
2087,3851,12196
2087,2574,56225
2087,3503,0
2087,5839,24348
2087,50,3954
2087,3839,13901
104,104,0
104,321,38018
104,5146,47770
321,321,0
321,3515,38091
5146,5146,0
5146,4534,44060
1040,1040,0
1040,8089,4027
1040,4643,0
1040,188,6082
8089,8089,0
8089,4643,0
8089,179,1971
188,4643,0
188,188,0
188,7453,10016
1042,5707,10122
1042,8378,7966
1042,1042,0
5707,5707,0
8378,8378,0
8378,4518,5988
1046,4643,0
1046,5607,8064
1046,1046,0
1046,6503,16263
5607,7928,6033
5607,4643,0
5607,5607,0
6503,4643,0
6503,6503,0
6503,4626,1958
6503,4341,28058
1048,1048,0
1048,2490,6101
1048,8103,8007
2490,2490,0
8103,7445,8069
8103,8103,0
105,105,0
105,6778,11933
105,6530,1975
6778,6778,0
6778,181,15945
6530,6530,0
1052,1562,7842
1052,1052,0
1052,142,3949
1562,1562,0
1562,5742,4088
142,7616,2072
142,142,0
1054,1817,46009
1054,3931,0
1054,7293,30201
1054,1054,0
1817,3931,128171
1817,5957,8102
1817,7952,1999
1817,8088,8053
1817,920,19957
1817,1817,0
1817,4443,15857
3931,2465,0
3931,7748,36929
3931,4100,0
3931,8871,167885
3931,425,20256
3931,489,2026
3931,7953,0
3931,7123,0
3931,4083,16017
3931,7034,10128
3931,3931,0
3931,667,0
3931,3870,0
3931,1823,0
7293,5478,9963
7293,1929,12157
7293,3931,0
7293,7293,0
1055,7593,30067
1055,4643,0
1055,1055,0
1055,3895,36289
7593,7593,0
7593,4643,0
7593,303,30118
3895,4553,26171
3895,4643,0
3895,3895,0
1056,1056,0
1056,2153,5997
2153,8417,12000
2153,6722,0
2153,5411,0
2153,8995,8139
2153,7394,5865
2153,2153,0
2153,2217,3984
2153,2287,25876
2153,4911,18042
2153,8825,0
2153,2003,32189
2153,3540,108114
2153,884,1972
2153,7641,34358
2153,7099,1938
2153,4510,5935
1057,8912,5905
1057,1057,0
1057,5622,9965
8912,3015,6026
8912,490,2001
8912,8912,0
8912,6673,12018
8912,1367,11984
8912,2297,1947
5622,293,3894
5622,5622,0
1058,1058,0
1058,1942,0
1942,1880,6020
1942,1942,0
1060,1824,96099
1060,1060,0
1060,7375,92675
1824,1824,0
1824,5217,2032
1824,6466,13897
1824,7555,6037
1824,455,5873
1824,1578,2091
1824,2091,14219
1824,7440,21856
1824,2129,12009
1824,4180,5922
1824,5722,4180
7375,3298,96665
7375,7375,0
1063,1242,9881
1063,1063,0
1063,6655,6033
1242,1242,0
1242,2341,7850
6655,6655,0
1067,6098,4066
1067,1067,0
6098,6160,16260
6098,6449,0
6098,6098,0
6098,1175,8130
1068,7121,16191
1068,4643,0
1068,1068,0
1068,6094,18373
7121,5888,36434
7121,7121,0
7121,4643,0
6094,7362,22447
6094,4643,0
6094,6094,0
107,8448,10039
107,1922,0
107,4133,10103
107,107,0
107,575,9943
107,7438,22074
107,4625,182497
107,4885,18503
107,6233,6134
107,3551,2082
8448,8448,0
8448,3474,10039
8448,3003,0
1922,1922,0
1922,3003,3982
4133,4133,0
4133,3860,10103
4133,3003,0
575,6788,7935
575,3003,0
575,575,0
7438,3003,0
7438,2454,26184
7438,7438,0
4625,2374,1973
4625,8262,11958
4625,8269,0
4625,4625,0
4625,437,160430
4625,3003,0
4885,4885,0
4885,7051,16401
4885,3003,0
6233,6233,0
6233,3003,0
3551,3003,0
3551,5702,0
3551,3551,0
1070,1070,0
1073,1073,0
1073,5938,4096
5938,5938,0
1074,1657,2007
1074,1074,0
1074,7677,3870
1657,1657,0
1657,1494,0
7677,7677,0
7677,7189,84279
7677,1494,82419
1076,1076,0
1076,2333,6090
2333,873,20360
2333,8137,16165
2333,3404,16308
2333,7343,6155
2333,6109,2001
2333,2333,0
1077,3347,8067
1077,8795,4028
1077,5211,0
1077,1077,0
3347,8272,6053
3347,5211,0
3347,3347,0
8795,6218,22112
8795,8795,0
8795,4315,1975
8795,7607,10025
8795,8794,36373
1078,6345,8261
1078,7643,10174
1078,1078,0
6345,6345,0
6345,3644,12345
7643,7643,0
108,5337,19764
108,108,0
108,6311,7882
5337,5337,0
5337,2066,23796
6311,2598,5892
6311,6311,0
1082,1455,190678
1082,4243,112309
1082,883,16252
1082,5173,2013
1082,1082,0
1082,4892,41983
1082,8351,2067
1455,8238,0
1455,6318,186686
1455,1455,0
4243,5986,4052
4243,966,22030
4243,7117,7861
4243,5903,2018
4243,5360,0
4243,4243,0
4243,951,49970
4243,8604,6115
4243,8255,2018
4243,223,2024
883,883,0
883,7310,14186
5173,4237,12165
5173,5586,4050
5173,7219,859
5173,6996,169220
5173,5173,0
5173,8373,24353
5173,1365,187679
5173,3710,409172
5173,2463,4092
4892,6720,24056
4892,5447,4012
4892,6123,5940
4892,5739,0
4892,3213,4003
4892,5624,0
4892,4892,0
8351,2135,2067
8351,8351,0
1083,6057,3946
1083,1083,0
6057,6057,0
1085,4922,6095
1085,4,6051
1085,1085,0
4922,4922,0
4922,1902,10143
4,4,0
4,885,2018
4,4215,25637
1086,4801,4000
1086,3138,0
1086,1086,0
4801,4801,0
4801,8814,12234
3138,3138,0
3138,4743,8125
1087,8946,14120
1087,4643,0
1087,5413,7999
1087,1087,0
