total_pe,total_kp,total_lp,end_ts,mapping,model_events,network_events,total_events,runtime,events_processed,events_aborted,events_rb,pe_event_ties,eff,send_loc_remote,percent_loc,send_net_remote,percent_net,rb_total,rb_primary,rb_secondary,fc_attempts,num_gvt,net_events,event_rate,events_past_end,event_alloc,memory_alloc,memory_wasted,remote_sends,remote_recvs,pe_struct,kp_struct,lp_struct,lp_model_struct,lp_rngs,total_lp_size,event_struct,event_struct_model,init_time,pq_time,avl_time,lz4_time,buddy_time,event_proc_time,event_cancel_time,event_abort_time,gvt_time,fc_time,primary_rb_time,net_read_time,net_other_time,inst_comp_time,inst_write_time,total_time
1,16,5238,1000000000,model defined,10000001,16,10000016,72.7353,51818784,0,0,0,100,0,0,0,0,0,0,0,0,0,51818784,712429.59,12616,10000017,11491790,283,3888,960,960,24,80,1064,976,1176,78.6767,27.032,0,0,0,0,0,0,0,0,0,0,0,0,0,152.3718,,
1,16,5238,1000000000,model defined,10000001,16,10000016,73.3326,51818784,0,0,0,100,0,0,0,0,0,0,0,0,0,51818784,706626.41,12616,10000017,11491790,283,3888,960,960,24,80,1064,976,1176,83.6199,27.2818,0,0,0,0,0,0,0,0,0,0,0,0,0,153.623,,
1,16,5238,1000000000,model defined,10000001,16,10000016,74.7945,51818784,0,0,0,100,0,0,0,0,0,0,0,0,0,51818784,692815.35,12616,10000017,11491790,283,3888,960,960,24,80,1064,976,1176,83.8063,27.1889,0,0,0,0,0,0,0,0,0,0,0,0,0,156.6855,,
1,16,5238,1000000000,model defined,10000001,16,10000016,73.9927,51818784,0,0,0,100,0,0,0,0,0,0,0,0,0,51818784,700323.27,12616,10000017,11491790,283,3888,960,960,24,80,1064,976,1176,84.3704,26.9941,0,0,0,0,0,0,0,0,0,0,0,0,0,155.0058,,
1,16,5238,1000000000,model defined,10000001,16,10000016,73.1677,51818784,0,0,0,100,0,0,0,0,0,0,0,0,0,51818784,708219.62,12616,10000017,11491790,283,3888,960,960,24,80,1064,976,1176,83.2868,27.192,0,0,0,0,0,0,0,0,0,0,0,0,0,153.2776,,
2,32,5238,1000000000,model defined,10000001,16,10000016,85.8399,70627980,0,18809196,0,63.7,0,0,5575418,10.76,986485,986485,0,275992,137996,51818784,603667.83,20698,10000017,11660075,446,14789168,14789168,3888,960,960,144,80,1184,976,1176,68.1195,29.3517,28.7862,0,0,101.5422,1.6723,0,24.659,16.101,30.4737,39.4743,29.7493,0,0,179.8234
2,32,5238,1000000000,model defined,10000001,16,10000016,85.289,70627925,0,18809141,0,63.7,0,0,5575418,10.76,987065,987065,0,275992,137996,51818784,607567.32,20572,10000017,11660075,446,14788918,14788918,3888,960,960,144,80,1184,976,1176,67.8142,28.9792,28.8043,0,0,100.4217,1.6595,0,24.3708,16.0929,30.2319,39.4156,29.6662,0,0,178.6693
2,32,5238,1000000000,model defined,10000001,16,10000016,85.7293,70627735,0,18808951,0,63.7,0,0,5575418,10.76,985360,985360,0,275992,137996,51818784,604446.87,20424,10000017,11660075,446,14786786,14786786,3888,960,960,144,80,1184,976,1176,67.9772,29.1608,28.8959,0,0,101.3353,1.6679,0,25.3804,16.0024,30.3676,39.7386,29.6849,0,0,179.5917
2,32,5238,1000000000,model defined,10000001,16,10000016,85.2361,70627729,0,18808945,0,63.7,0,0,5575418,10.76,985567,985567,0,275992,137996,51818784,607944.36,20476,10000017,11660075,446,14785832,14785832,3888,960,960,144,80,1184,976,1176,67.6732,29.2036,28.713,0,0,100.4008,1.6757,0,25.0417,16.1113,30.2877,39.6338,29.5874,0,0,178.5585
2,32,5238,1000000000,model defined,10000001,16,10000016,85.3247,70627719,0,18808935,0,63.7,0,0,5575418,10.76,986443,986443,0,275992,137996,51818784,607313.16,20455,10000017,11660075,446,14787106,14787106,3888,960,960,144,80,1184,976,1176,68.0536,29.0974,28.7345,0,0,100.613,1.6704,0,24.5378,16.0375,30.5631,39.4176,29.6404,0,0,178.745
