total_pe,total_kp,total_lp,end_ts,mapping,model_events,network_events,total_events,runtime,events_processed,events_aborted,events_rb,pe_event_ties,eff,send_loc_remote,percent_loc,send_net_remote,percent_net,rb_total,rb_primary,rb_secondary,fc_attempts,num_gvt,net_events,event_rate,events_past_end,event_alloc,memory_alloc,memory_wasted,remote_sends,remote_recvs,pe_struct,kp_struct,lp_struct,lp_model_struct,lp_rngs,total_lp_size,event_struct,event_struct_model,init_time,pq_time,avl_time,lz4_time,buddy_time,event_proc_time,event_cancel_time,event_abort_time,gvt_time,fc_time,primary_rb_time,net_read_time,net_other_time,inst_comp_time,inst_write_time,total_time
1,16,5238,1000000000,model defined,10000001,16,10000016,72.7353,51818784,0,0,0,100,0,0,0,0,0,0,0,0,0,51818784,712429.59,12616,10000017,11491790,283,3888,960,960,24,80,1064,976,1176,78.6767,27.032,0,0,0,0,0,0,0,0,0,0,0,0,0,152.3718,,
1,16,5238,1000000000,model defined,10000001,16,10000016,73.3326,51818784,0,0,0,100,0,0,0,0,0,0,0,0,0,51818784,706626.41,12616,10000017,11491790,283,3888,960,960,24,80,1064,976,1176,83.6199,27.2818,0,0,0,0,0,0,0,0,0,0,0,0,0,153.623,,
1,16,5238,1000000000,model defined,10000001,16,10000016,74.7945,51818784,0,0,0,100,0,0,0,0,0,0,0,0,0,51818784,692815.35,12616,10000017,11491790,283,3888,960,960,24,80,1064,976,1176,83.8063,27.1889,0,0,0,0,0,0,0,0,0,0,0,0,0,156.6855,,
1,16,5238,1000000000,model defined,10000001,16,10000016,73.9927,51818784,0,0,0,100,0,0,0,0,0,0,0,0,0,51818784,700323.27,12616,10000017,11491790,283,3888,960,960,24,80,1064,976,1176,84.3704,26.9941,0,0,0,0,0,0,0,0,0,0,0,0,0,155.0058,,
1,16,5238,1000000000,model defined,10000001,16,10000016,73.1677,51818784,0,0,0,100,0,0,0,0,0,0,0,0,0,51818784,708219.62,12616,10000017,11491790,283,3888,960,960,24,80,1064,976,1176,83.2868,27.192,0,0,0,0,0,0,0,0,0,0,0,0,0,153.2776,,
2,32,5238,1000000000,model defined,10000001,16,10000016,68.7376,63279654,0,11460870,0,77.88,0,0,5303431,10.23,1051095,1051095,0,247224,123612,51818784,753863.37,16031,10000017,11660074,448,9432809,9432809,3888,960,960,24,80,1064,976,1176,66.3105,25.4818,13.2399,0,0,87.0018,0.9821,0,16.7588,20.6126,20.3839,18.8501,14.5142,0,0,143.9967
2,32,5238,1000000000,model defined,10000001,16,10000016,69.1483,63279644,0,11460860,0,77.88,0,0,5303431,10.23,1054378,1054378,0,247224,123612,51818784,749386.17,16043,10000017,11660074,448,9433499,9433499,3888,960,960,24,80,1064,976,1176,66.5072,25.4037,13.2807,0,0,88.1159,1.0189,0,16.4525,20.4322,20.4124,18.9271,14.5701,0,0,144.8705
2,32,5238,1000000000,model defined,10000001,16,10000016,70.2189,63279644,0,11460860,0,77.88,0,0,5303431,10.23,1054801,1054801,0,247224,123612,51818784,737960.62,16050,10000017,11660074,448,9436943,9436943,3888,960,960,24,80,1064,976,1176,67.0404,25.6285,13.2962,0,0,89.7509,1.0156,0,16.3353,21.2816,20.38,19.0612,14.5885,0,0,147.1112
2,32,5238,1000000000,model defined,10000001,16,10000016,69.9761,63279645,0,11460861,0,77.88,0,0,5303431,10.23,1053124,1053124,0,247224,123612,51818784,740521.23,16040,10000017,11660074,448,9434425,9434425,3888,960,960,24,80,1064,976,1176,66.6671,25.4912,13.2214,0,0,89.0794,1.0066,0,17.1468,21.2441,20.2636,18.9027,14.5414,0,0,146.6006
2,32,5238,1000000000,model defined,10000001,16,10000016,69.729,63279637,0,11460853,0,77.88,0,0,5303431,10.23,1053127,1053127,0,247224,123612,51818784,743145.6,16039,10000017,11660074,448,9433213,9433213,3888,960,960,24,80,1064,976,1176,66.7313,25.6219,13.1675,0,0,88.4083,0.9979,0,17.187,21.1174,20.2824,18.9502,14.5271,0,0,146.0814
