total_pe,total_kp,total_lp,end_ts,mapping,model_events,network_events,total_events,runtime,events_processed,events_aborted,events_rb,pe_event_ties,eff,send_loc_remote,percent_loc,send_net_remote,percent_net,rb_total,rb_primary,rb_secondary,fc_attempts,num_gvt,net_events,event_rate,events_past_end,event_alloc,memory_alloc,memory_wasted,remote_sends,remote_recvs,pe_struct,kp_struct,lp_struct,lp_model_struct,lp_rngs,total_lp_size,event_struct,event_struct_model,init_time,pq_time,avl_time,lz4_time,buddy_time,event_proc_time,event_cancel_time,event_abort_time,gvt_time,fc_time,primary_rb_time,net_read_time,net_other_time,inst_comp_time,inst_write_time,total_time
1,16,5238,1000000000,model defined,10000001,16,10000016,72.7353,51818784,0,0,0,100,0,0,0,0,0,0,0,0,0,51818784,712429.59,12616,10000017,11491790,283,3888,960,960,24,80,1064,976,1176,78.6767,27.032,0,0,0,0,0,0,0,0,0,0,0,0,0,152.3718,,
1,16,5238,1000000000,model defined,10000001,16,10000016,73.3326,51818784,0,0,0,100,0,0,0,0,0,0,0,0,0,51818784,706626.41,12616,10000017,11491790,283,3888,960,960,24,80,1064,976,1176,83.6199,27.2818,0,0,0,0,0,0,0,0,0,0,0,0,0,153.623,,
1,16,5238,1000000000,model defined,10000001,16,10000016,74.7945,51818784,0,0,0,100,0,0,0,0,0,0,0,0,0,51818784,692815.35,12616,10000017,11491790,283,3888,960,960,24,80,1064,976,1176,83.8063,27.1889,0,0,0,0,0,0,0,0,0,0,0,0,0,156.6855,,
1,16,5238,1000000000,model defined,10000001,16,10000016,73.9927,51818784,0,0,0,100,0,0,0,0,0,0,0,0,0,51818784,700323.27,12616,10000017,11491790,283,3888,960,960,24,80,1064,976,1176,84.3704,26.9941,0,0,0,0,0,0,0,0,0,0,0,0,0,155.0058,,
1,16,5238,1000000000,model defined,10000001,16,10000016,73.1677,51818784,0,0,0,100,0,0,0,0,0,0,0,0,0,51818784,708219.62,12616,10000017,11491790,283,3888,960,960,24,80,1064,976,1176,83.2868,27.192,0,0,0,0,0,0,0,0,0,0,0,0,0,153.2776,,
2,32,5238,1000000000,model defined,10000001,16,10000016,57.6846,53616906,0,1798122,0,96.53,0,0,4938975,9.53,270815,270815,0,209516,104758,51818784,898311.83,22756,10000017,11660474,48,6074587,6074587,3888,960,960,144,80,1184,976,1176,69.7817,19.7857,13.0882,0,0,73.8866,0.5867,0,19.805,21.8996,3.3776,9.044,16.8634,0,0,120.8419
2,32,5238,1000000000,model defined,10000001,16,10000016,56.9794,53616902,0,1798118,0,96.53,0,0,4938975,9.53,271366,271366,0,209516,104758,51818784,909429.43,22792,10000017,11660474,48,6074989,6074989,3888,960,960,144,80,1184,976,1176,69.4138,19.7812,13.0111,0,0,73.2743,0.5658,0,19.2132,21.3795,3.3157,9.135,16.8462,0,0,119.3647
2,32,5238,1000000000,model defined,10000001,16,10000016,56.9576,53616891,0,1798107,0,96.53,0,0,4938975,9.53,271013,271013,0,209516,104758,51818784,909778.43,22853,10000017,11660474,48,6074957,6074957,3888,960,960,144,80,1184,976,1176,69.3614,19.7144,12.9907,0,0,72.9738,0.5806,0,19.2621,21.3974,3.3317,9.1099,16.8322,0,0,119.3189
2,32,5238,1000000000,model defined,10000001,16,10000016,57.706,53616872,0,1798088,0,96.53,0,0,4938975,9.53,270980,270980,0,209516,104758,51818784,897979.2,22850,10000017,11660474,48,6074901,6074901,3888,960,960,144,80,1184,976,1176,69.4757,19.9399,13.0206,0,0,74.2111,0.5737,0,19.5339,21.7981,3.3651,9.0799,16.757,0,0,120.8867
2,32,5238,1000000000,model defined,10000001,16,10000016,57.4281,53617238,0,1798454,0,96.53,0,0,4938975,9.53,270040,270040,0,209516,104758,51818784,902324.45,23000,10000017,11660474,48,6073529,6073529,3888,960,960,144,80,1184,976,1176,69.851,19.7881,12.986,0,0,73.2008,0.5771,0,20.1582,21.5599,3.3639,9.0082,16.7742,0,0,120.3046
