total_pe,total_kp,total_lp,end_ts,mapping,model_events,network_events,total_events,runtime,events_processed,events_aborted,events_rb,pe_event_ties,eff,send_loc_remote,percent_loc,send_net_remote,percent_net,rb_total,rb_primary,rb_secondary,fc_attempts,num_gvt,net_events,event_rate,events_past_end,event_alloc,memory_alloc,memory_wasted,remote_sends,remote_recvs,pe_struct,kp_struct,lp_struct,lp_model_struct,lp_rngs,total_lp_size,event_struct,event_struct_model,init_time,pq_time,avl_time,lz4_time,buddy_time,event_proc_time,event_cancel_time,event_abort_time,gvt_time,fc_time,primary_rb_time,net_read_time,net_other_time,inst_comp_time,inst_write_time,total_time
1,16,5238,1000000000,model defined,10000001,16,10000016,72.7353,51818784,0,0,0,100,0,0,0,0,0,0,0,0,0,51818784,712429.59,12616,10000017,11491790,283,3888,960,960,24,80,1064,976,1176,78.6767,27.032,0,0,0,0,0,0,0,0,0,0,0,0,0,152.3718,,
1,16,5238,1000000000,model defined,10000001,16,10000016,73.3326,51818784,0,0,0,100,0,0,0,0,0,0,0,0,0,51818784,706626.41,12616,10000017,11491790,283,3888,960,960,24,80,1064,976,1176,83.6199,27.2818,0,0,0,0,0,0,0,0,0,0,0,0,0,153.623,,
1,16,5238,1000000000,model defined,10000001,16,10000016,74.7945,51818784,0,0,0,100,0,0,0,0,0,0,0,0,0,51818784,692815.35,12616,10000017,11491790,283,3888,960,960,24,80,1064,976,1176,83.8063,27.1889,0,0,0,0,0,0,0,0,0,0,0,0,0,156.6855,,
1,16,5238,1000000000,model defined,10000001,16,10000016,73.9927,51818784,0,0,0,100,0,0,0,0,0,0,0,0,0,51818784,700323.27,12616,10000017,11491790,283,3888,960,960,24,80,1064,976,1176,84.3704,26.9941,0,0,0,0,0,0,0,0,0,0,0,0,0,155.0058,,
1,16,5238,1000000000,model defined,10000001,16,10000016,73.1677,51818784,0,0,0,100,0,0,0,0,0,0,0,0,0,51818784,708219.62,12616,10000017,11491790,283,3888,960,960,24,80,1064,976,1176,83.2868,27.192,0,0,0,0,0,0,0,0,0,0,0,0,0,153.2776,,
2,32,5238,1000000000,model defined,10000001,16,10000016,57.3316,52203322,0,384538,0,99.26,0,0,5558353,10.73,62642,62642,0,203962,101981,51818784,903843.67,18666,10000017,11659435,63,5680973,5680973,3888,960,960,24,80,1064,976,1176,70.2388,19.5243,14.3874,0,0,72.1738,0.4778,0,21.2074,20.9541,0.6714,9.2403,17.5539,0,0,120.1019
2,32,5238,1000000000,model defined,10000001,16,10000016,57.5019,52203359,0,384575,0,99.26,0,0,5558353,10.73,62449,62449,0,203962,101981,51818784,901166.87,18661,10000017,11659435,63,5681065,5681065,3888,960,960,24,80,1064,976,1176,70.1982,19.4499,14.4055,0,0,72.1135,0.4727,0,21.9132,20.849,0.6694,9.3071,17.5849,0,0,120.4587
2,32,5238,1000000000,model defined,10000001,16,10000016,57.2205,52203359,0,384575,0,99.26,0,0,5558353,10.73,62675,62675,0,203962,101981,51818784,905597.95,18673,10000017,11659435,63,5680883,5680883,3888,960,960,24,80,1064,976,1176,70.0717,19.5032,14.3909,0,0,72.0802,0.4679,0,21.0864,20.983,0.6665,9.2671,17.4733,0,0,119.8693
2,32,5238,1000000000,model defined,10000001,16,10000016,58.3183,52203321,0,384537,0,99.26,0,0,5558353,10.73,62631,62631,0,203962,101981,51818784,888551.6,18655,10000017,11659435,63,5681395,5681395,3888,960,960,24,80,1064,976,1176,70.2065,19.4904,14.4103,0,0,73.5637,0.4926,0,21.6786,21.6566,0.6712,9.2357,17.5523,0,0,122.169
2,32,5238,1000000000,model defined,10000001,16,10000016,57.9359,52203201,0,384417,0,99.26,0,0,5558353,10.73,62147,62147,0,203962,101981,51818784,894415.19,18544,10000017,11659435,63,5681091,5681091,3888,960,960,24,80,1064,976,1176,70.1775,19.5966,14.4466,0,0,72.3929,0.478,0,22.1853,21.3385,0.6692,9.2098,17.505,0,0,121.3681
