total_pe,total_kp,total_lp,end_ts,mapping,model_events,network_events,total_events,runtime,events_processed,events_aborted,events_rb,pe_event_ties,eff,send_loc_remote,percent_loc,send_net_remote,percent_net,rb_total,rb_primary,rb_secondary,fc_attempts,num_gvt,net_events,event_rate,events_past_end,event_alloc,memory_alloc,memory_wasted,remote_sends,remote_recvs,pe_struct,kp_struct,lp_struct,lp_model_struct,lp_rngs,total_lp_size,event_struct,event_struct_model,init_time,pq_time,avl_time,lz4_time,buddy_time,event_proc_time,event_cancel_time,event_abort_time,gvt_time,fc_time,primary_rb_time,net_read_time,net_other_time,inst_comp_time,inst_write_time,total_time
1,16,5238,1000000000,model defined,10000001,16,10000016,72.7353,51818784,0,0,0,100,0,0,0,0,0,0,0,0,0,51818784,712429.59,12616,10000017,11491790,283,3888,960,960,24,80,1064,976,1176,78.6767,27.032,0,0,0,0,0,0,0,0,0,0,0,0,0,152.3718,,
1,16,5238,1000000000,model defined,10000001,16,10000016,73.3326,51818784,0,0,0,100,0,0,0,0,0,0,0,0,0,51818784,706626.41,12616,10000017,11491790,283,3888,960,960,24,80,1064,976,1176,83.6199,27.2818,0,0,0,0,0,0,0,0,0,0,0,0,0,153.623,,
1,16,5238,1000000000,model defined,10000001,16,10000016,74.7945,51818784,0,0,0,100,0,0,0,0,0,0,0,0,0,51818784,692815.35,12616,10000017,11491790,283,3888,960,960,24,80,1064,976,1176,83.8063,27.1889,0,0,0,0,0,0,0,0,0,0,0,0,0,156.6855,,
1,16,5238,1000000000,model defined,10000001,16,10000016,73.9927,51818784,0,0,0,100,0,0,0,0,0,0,0,0,0,51818784,700323.27,12616,10000017,11491790,283,3888,960,960,24,80,1064,976,1176,84.3704,26.9941,0,0,0,0,0,0,0,0,0,0,0,0,0,155.0058,,
1,16,5238,1000000000,model defined,10000001,16,10000016,73.1677,51818784,0,0,0,100,0,0,0,0,0,0,0,0,0,51818784,708219.62,12616,10000017,11491790,283,3888,960,960,24,80,1064,976,1176,83.2868,27.192,0,0,0,0,0,0,0,0,0,0,0,0,0,153.2776,,
2,32,5238,1000000000,model defined,10000001,16,10000016,59.0356,53572499,0,1753715,0,96.62,0,0,5894867,11.38,352910,352910,0,209322,104661,51818784,877754.3,23208,10000017,11659570,439,6936153,6936153,3888,960,960,24,80,1064,976,1176,69.1777,20.4251,14.2362,0,0,74.7634,0.5747,0,19.8207,22.5558,4.1595,10.5854,16.9703,0,0,123.6706
2,32,5238,1000000000,model defined,10000001,16,10000016,58.4349,53572513,0,1753729,0,96.62,0,0,5894867,11.38,353370,353370,0,209322,104661,51818784,886777.53,23243,10000017,11659570,439,6937397,6937397,3888,960,960,24,80,1064,976,1176,69.043,20.418,14.2029,0,0,74.5916,0.5632,0,19.128,22.1721,4.1826,10.6087,16.9367,0,0,122.4125
2,32,5238,1000000000,model defined,10000001,16,10000016,58.7755,53572396,0,1753612,0,96.62,0,0,5894867,11.38,351648,351648,0,209322,104661,51818784,881639.83,23094,10000017,11659570,439,6937067,6937067,3888,960,960,24,80,1064,976,1176,68.4695,20.475,14.2184,0,0,74.3387,0.5749,0,19.8267,22.6173,4.1779,10.5947,16.9356,0,0,123.1261
2,32,5238,1000000000,model defined,10000001,16,10000016,58.7346,53572499,0,1753715,0,96.62,0,0,5894867,11.38,351323,351323,0,209322,104661,51818784,882253.52,23181,10000017,11659570,439,6935485,6935485,3888,960,960,24,80,1064,976,1176,68.5746,20.3398,14.2427,0,0,74.0163,0.5614,0,20.2263,22.5631,4.1757,10.577,16.9045,0,0,123.0406
4,64,5238,1000000000,model defined,10000001,16,10000016,41.1821,58518633,0,6699849,0,87.07,0,0,10763302,20.77,1235040,1168389,66651,228692,57173,51818784,1258285.32,16574,10000017,11658720,265,14646078,14646078,3888,960,960,144,80,1184,976,1176,65.1028,10.4666,13.8106,0,0,40.9781,1.4498,0,22.5858,13.6789,11.3589,18.3307,30.9867,0,0,86.2707
